ram_gb,ssd,hdd,display_size,price,Marca,Marca del Procesador,Modelo del Procesador,Sistema Operativo
8,256,0,14.0,24990.0,avita,amd,apu dual,windows
4,0,1024,14.0,20900.0,hp,amd,apu dual,windows
32,32,0,14.0,26899.0,hp,amd,athlon dual,windows
4,0,1024,15.6,34649.0,asus,intel,core i3,windows
4,0,1024,15.6,39999.0,lenovo,intel,core i3,windows
8,0,1024,14.0,58799.0,asus,intel,core i5,windows
4,0,1024,14.0,49999.0,lenovo,intel,core i5,windows
8,256,0,14.0,56490.0,hp,intel,core i3,windows
8,256,0,14.0,65390.0,hp,intel,core i5,windows
4,256,0,14.0,31999.0,lenovo,intel,celeron dual,windows
8,256,0,14.0,32490.0,hp,intel,celeron dual,windows
4,0,1024,15.6,23990.0,asus,intel,celeron dual,windows
4,0,1024,15.6,32955.0,hp,intel,core i3,windows
4,0,1024,15.6,46200.0,hp,intel,core i5,windows
4,256,0,14.0,34429.0,asus,intel,core i3,windows
8,256,0,15.6,37990.0,lenovo,intel,core i3,windows
4,256,0,15.6,35990.0,asus,intel,core i3,windows
8,256,0,14.0,33980.0,asus,intel,core i3,windows
8,256,0,14.0,39990.0,hp,intel,core i3,windows
8,256,0,14.0,39490.0,dell,intel,core i3,windows
8,256,0,14.0,53990.0,hp,intel,core i3,windows
8,256,0,15.6,38990.0,acer,intel,core i3,windows
8,256,0,15.6,37990.0,asus,intel,core i3,windows
8,256,0,14.0,37890.0,asus,intel,core i3,windows
8,256,0,14.0,38990.0,lenovo,intel,core i3,windows
8,256,0,14.0,37990.0,lenovo,intel,core i3,windows
8,256,0,14.96,41990.0,dell,intel,core i3,windows
8,256,0,15.6,45990.0,asus,intel,core i3,windows
8,256,0,15.6,39990.0,lenovo,intel,core i3,windows
8,256,0,15.6,42490.0,dell,intel,core i3,windows
4,256,0,14.0,36990.0,dell,intel,core i3,windows
8,256,0,14.0,53990.0,lenovo,intel,core i3,windows
8,256,0,14.0,36990.0,asus,intel,core i3,windows
4,256,0,15.6,38940.0,lenovo,intel,core i3,windows
4,256,0,15.0,39490.0,dell,intel,core i3,windows
8,256,0,15.6,39999.0,lenovo,intel,core i3,windows
8,256,0,15.6,42990.0,dell,intel,core i3,windows
